date,market,symbol,close,source
2008-06-24,HANGSENG,^HSI,22456.01953,Yahoo Finance via yfinance
2008-06-24,NASDAQ,^IXIC,2368.280029,Yahoo Finance via yfinance
2008-06-24,NIKKEI225,^N225,13849.55957,Yahoo Finance via yfinance
2008-06-24,SP500,^GSPC,1314.290039,Yahoo Finance via yfinance
2008-06-24,VIX,^VIX,22.42000008,Yahoo Finance via yfinance
2008-06-25,DAX,^GDAXI,6617.839844,Yahoo Finance via yfinance
2008-06-25,DOW,^DJI,11811.83008,Yahoo Finance via yfinance
2008-06-25,FTSE100,^FTSE,5666.100098,Yahoo Finance via yfinance
2008-06-25,HANGSENG,^HSI,22635.16016,Yahoo Finance via yfinance
2008-06-25,NASDAQ,^IXIC,2401.26001,Yahoo Finance via yfinance
2008-06-25,NIKKEI225,^N225,13829.91992,Yahoo Finance via yfinance
2008-06-25,SP500,^GSPC,1321.969971,Yahoo Finance via yfinance
2008-06-25,VIX,^VIX,21.13999939,Yahoo Finance via yfinance
2008-06-26,DAX,^GDAXI,6459.600098,Yahoo Finance via yfinance
2008-06-26,DOW,^DJI,11453.41992,Yahoo Finance via yfinance
2008-06-26,FTSE100,^FTSE,5518.200195,Yahoo Finance via yfinance
2008-06-26,HANGSENG,^HSI,22455.66992,Yahoo Finance via yfinance
2008-06-26,NASDAQ,^IXIC,2321.370117,Yahoo Finance via yfinance
2008-06-26,NIKKEI225,^N225,13822.32031,Yahoo Finance via yfinance
2008-06-26,SP500,^GSPC,1283.150024,Yahoo Finance via yfinance
2008-06-26,VIX,^VIX,23.93000031,Yahoo Finance via yfinance
2008-06-27,DAX,^GDAXI,6421.910156,Yahoo Finance via yfinance
2008-06-27,DOW,^DJI,11346.50977,Yahoo Finance via yfinance
2008-06-27,FTSE100,^FTSE,5530,Yahoo Finance via yfinance
2008-06-27,HANGSENG,^HSI,22042.34961,Yahoo Finance via yfinance
2008-06-27,NASDAQ,^IXIC,2315.629883,Yahoo Finance via yfinance
2008-06-27,NIKKEI225,^N225,13544.36035,Yahoo Finance via yfinance
2008-06-27,SP500,^GSPC,1278.380005,Yahoo Finance via yfinance
2008-06-27,VIX,^VIX,23.44000053,Yahoo Finance via yfinance
2008-06-30,DAX,^GDAXI,6418.319824,Yahoo Finance via yfinance
2008-06-30,DOW,^DJI,11350.00977,Yahoo Finance via yfinance
2008-06-30,FTSE100,^FTSE,5625.899902,Yahoo Finance via yfinance
2008-06-30,HANGSENG,^HSI,22102.00977,Yahoo Finance via yfinance
2008-06-30,NASDAQ,^IXIC,2292.97998,Yahoo Finance via yfinance
2008-06-30,NIKKEI225,^N225,13481.37988,Yahoo Finance via yfinance
2008-06-30,SP500,^GSPC,1280,Yahoo Finance via yfinance
2008-06-30,VIX,^VIX,23.95000076,Yahoo Finance via yfinance
2008-07-01,DAX,^GDAXI,6315.939941,Yahoo Finance via yfinance
2008-07-01,DOW,^DJI,11382.25977,Yahoo Finance via yfinance
2008-07-01,FTSE100,^FTSE,5479.899902,Yahoo Finance via yfinance
2008-07-01,NASDAQ,^IXIC,2304.969971,Yahoo Finance via yfinance
2008-07-01,NIKKEI225,^N225,13463.2002,Yahoo Finance via yfinance
2008-07-01,SP500,^GSPC,1284.910034,Yahoo Finance via yfinance
2008-07-01,VIX,^VIX,23.64999962,Yahoo Finance via yfinance
2008-07-02,DAX,^GDAXI,6305.419922,Yahoo Finance via yfinance
2008-07-02,DOW,^DJI,11215.50977,Yahoo Finance via yfinance
2008-07-02,FTSE100,^FTSE,5426.299805,Yahoo Finance via yfinance
2008-07-02,HANGSENG,^HSI,21704.44922,Yahoo Finance via yfinance
2008-07-02,NASDAQ,^IXIC,2251.459961,Yahoo Finance via yfinance
2008-07-02,NIKKEI225,^N225,13286.37012,Yahoo Finance via yfinance
2008-07-02,SP500,^GSPC,1261.52002,Yahoo Finance via yfinance
2008-07-02,VIX,^VIX,25.92000008,Yahoo Finance via yfinance
2008-07-03,DAX,^GDAXI,6353.740234,Yahoo Finance via yfinance
2008-07-03,DOW,^DJI,11288.54004,Yahoo Finance via yfinance
2008-07-03,FTSE100,^FTSE,5476.600098,Yahoo Finance via yfinance
2008-07-03,HANGSENG,^HSI,21242.7793,Yahoo Finance via yfinance
2008-07-03,NASDAQ,^IXIC,2245.379883,Yahoo Finance via yfinance
2008-07-03,NIKKEI225,^N225,13265.40039,Yahoo Finance via yfinance
2008-07-03,SP500,^GSPC,1262.900024,Yahoo Finance via yfinance
2008-07-03,VIX,^VIX,24.78000069,Yahoo Finance via yfinance
2008-07-04,DAX,^GDAXI,6272.209961,Yahoo Finance via yfinance
2008-07-04,FTSE100,^FTSE,5412.799805,Yahoo Finance via yfinance
